id,start,end,start_x,start_y,end_x,end_y,length,travel_time
0,3724055370,192350909,106.8110888,-6.1343289,106.810895,-6.1341666,31,6
1,192350909,316735648,106.810895,-6.1341666,106.8099651,-6.1344425,107,16
2,316735648,316735522,106.8099651,-6.1344425,106.8091853,-6.1314596,343,55
3,316735522,331163279,106.8091853,-6.1314596,106.8096353,-6.1312082,62,9
4,331163279,331163275,106.8096353,-6.1312082,106.8094722,-6.1308042,49,8
5,331163275,4888126400,106.8094722,-6.1308042,106.8093402,-6.1307615,15,2
6,4888126400,5137057550,106.8093402,-6.1307615,106.809256,-6.1307481,10,2
7,5137057550,11268513067,106.809256,-6.1307481,106.8091511,-6.1303975,41,7
8,11268513067,11268513066,106.8091511,-6.1303975,106.8090937,-6.1304154,7,1
9,11268513066,347203795,106.8090937,-6.1304154,106.8085385,-6.1293934,141,23
10,347203795,5112424387,106.8085385,-6.1293934,106.808326,-6.1285587,96,15
11,5112424387,331163322,106.808326,-6.1285587,106.8082529,-6.128084,53,9
12,331163322,9055259482,106.8082529,-6.128084,106.8081786,-6.1277862,34,5
13,9055259482,9550986901,106.8081786,-6.1277862,106.8075759,-6.1278628,67,6
14,9550986901,5377296249,106.8075759,-6.1278628,106.8068437,-6.1279802,82,8
15,5377296249,5377296250,106.8068437,-6.1279802,106.8067646,-6.1279947,9,1
16,5377296250,9474232636,106.8067646,-6.1279947,106.8059037,-6.1281543,97,9
17,9474232636,9474232637,106.8059037,-6.1281543,106.8049162,-6.1283055,111,11
18,9474232637,6459027077,106.8049162,-6.1283055,106.8050408,-6.1287328,49,9
19,6459027077,4488618364,106.8050408,-6.1287328,106.8052716,-6.1296069,100,18
20,4488618364,1757323330,106.8052716,-6.1296069,106.8056953,-6.1311735,180,32
21,1757323330,1757323362,106.8056953,-6.1311735,106.8057418,-6.1313412,19,3
22,1757323362,4863420444,106.8057418,-6.1313412,106.8057898,-6.1315519,24,4
23,4863420444,4863420451,106.8057898,-6.1315519,106.8055908,-6.1315889,22,2
24,4863420451,1757323344,106.8055908,-6.1315889,106.8050358,-6.1317546,64,6
25,1757323344,1757304385,106.8050358,-6.1317546,106.8012318,-6.1321586,424,40
26,1757304385,1757304299,106.8012318,-6.1321586,106.7963698,-6.1323641,538,24
27,1757304299,5377143518,106.7963698,-6.1323641,106.789049,-6.1321836,812,36
28,5377143518,1757282312,106.789049,-6.1321836,106.7878504,-6.1320099,134,6
29,1757282312,1757282103,106.7878504,-6.1320099,106.7827793,-6.130855,577,25
30,1757282103,3510298223,106.7827793,-6.130855,106.7770355,-6.125617,870,38
31,3510298223,1757267895,106.7770355,-6.125617,106.7717925,-6.1217559,797,35
32,1757267895,1757267992,106.7717925,-6.1217559,106.7675373,-6.1221427,473,21
33,1757267992,1757249079,106.7675373,-6.1221427,106.7365538,-6.1190066,3511,155
34,1757249079,1757252834,106.7365538,-6.1190066,106.7361637,-6.1188655,46,4
35,1757252834,1757252789,106.7361637,-6.1188655,106.7360253,-6.118853,15,1
36,1757252789,316161145,106.7360253,-6.118853,106.7335362,-6.1191014,281,27
37,316161145,7271182888,106.7335362,-6.1191014,106.7324871,-6.1202027,172,16
38,7271182888,7184150502,106.7324871,-6.1202027,106.7301111,-6.1301861,1174,53
39,7184150502,7184150503,106.7301111,-6.1301861,106.7301674,-6.1308068,69,3
40,7184150503,3601683024,106.7301674,-6.1308068,106.7280329,-6.1483127,1973,89
41,3601683024,3504124681,106.7280329,-6.1483127,106.7272933,-6.1603716,1347,61
42,3504124681,3601702227,106.7272933,-6.1603716,106.7287211,-6.1789591,2076,93
43,3601702227,2599144760,106.7287211,-6.1789591,106.7300835,-6.1847674,664,30
44,2599144760,5487643143,106.7300835,-6.1847674,106.7337043,-6.1963219,1349,61
45,5487643143,2600712057,106.7337043,-6.1963219,106.7361401,-6.2011817,604,27
46,2600712057,7209925278,106.7361401,-6.2011817,106.7409562,-6.2103065,1146,52
