location_name,node_id,node_name,lat,lon,connected_to,distance_km
kali besar barat,1,blok m - kota,-6.135355,106.81143,kali besar barat,11.99
kali besar barat,1,blok m - kota,-6.135355,106.81143,rs tarakan,3.96
rs tarakan,10h,tanjung priok - blok m,-6.171114,106.810112,kali besar barat,3.96
kali besar barat,1,blok m - kota,-6.135355,106.81143,jln. makam,12.0
jln. makam,1c,pesanggrahan - blok m,-6.238418,106.77745,kali besar barat,12.0
kali besar barat,1,blok m - kota,-6.135355,106.81143,gg. h. ayub,15.06
gg. h. ayub,1e,pondok labu - blok m,-6.270874,106.79762,kali besar barat,15.06
kali besar barat,1,blok m - kota,-6.135355,106.81143,rest area cibubur,24.27
rest area cibubur,1k,cibubur junction - blok m,-6.339993,106.89078,kali besar barat,24.27
kali besar barat,1,blok m - kota,-6.135355,106.81143,cipulir 1,12.04
cipulir 1,1m,meruya - blok m,-6.237918,106.7749,kali besar barat,12.04
kali besar barat,1,blok m - kota,-6.135355,106.81143,menara astra,8.05
menara astra,1n,tanah abang - blok m,-6.207361,106.8219,kali besar barat,8.05
kali besar barat,1,blok m - kota,-6.135355,106.81143,museum kebangkitan,5.69
museum kebangkitan,1p,senen - blok m,-6.178915,106.83877,kali besar barat,5.69
kali besar barat,1,blok m - kota,-6.135355,106.81143,one park residences,12.44
one park residences,1q,rempoa - blok m,-6.245436,106.78844,kali besar barat,12.44
kali besar barat,1,blok m - kota,-6.135355,106.81143,patra kuningan,11.0
patra kuningan,6m,stasiun manggarai - blok m,-6.232675,106.832042,kali besar barat,11.0
kali besar barat,1,blok m - kota,-6.135355,106.81143,pengadilan negeri jaksel 1,16.21
pengadilan negeri jaksel 1,6n,ragunan - blok m via kemang,-6.281672,106.81949,kali besar barat,16.21
kali besar barat,1,blok m - kota,-6.135355,106.81143,jln. poncol jaya 2,11.54
jln. poncol jaya 2,6u,pasar minggu - blok m,-6.239441,106.81883,kali besar barat,11.54
kali besar barat,1,blok m - kota,-6.135355,106.81143,rs harapan bunda,19.46
rs harapan bunda,7b,kampung rambutan - blok m,-6.301945,106.868002,kali besar barat,19.46
kali besar barat,1,blok m - kota,-6.135355,106.81143,kalibata city 1,14.15
kalibata city 1,7q,blok m - pgc,-6.255951,106.85404,kali besar barat,14.15
kali besar barat,1,blok m - kota,-6.135355,106.81143,permata eksekutif 2,10.36
permata eksekutif 2,8d,joglo - blok m,-6.216798,106.76524,kali besar barat,10.36
kali besar barat,1,blok m - kota,-6.135355,106.81143,jln. h. gari,14.53
jln. h. gari,8e,bintaro - blok m,-6.256091,106.75965,kali besar barat,14.53
kali besar barat,1,blok m - kota,-6.135355,106.81143,transvision,11.73
transvision,9h,universitas indonesia - blok m,-6.240036,106.82842,kali besar barat,11.73
kali besar barat,1,blok m - kota,-6.135355,106.81143,rs mitra keluarga 2,23.22
rs mitra keluarga 2,b13,bekasi barat - blok m,-6.24088,106.99285,kali besar barat,23.22
kali besar barat,1,blok m - kota,-6.135355,106.81143,terrace 2 pondok indah,14.66
terrace 2 pondok indah,jak.102,blok m - lebak bulus,-6.26311,106.77598,kali besar barat,14.66
kali besar barat,1,blok m - kota,-6.135355,106.81143,grand wijaya dharmawangsa,13.26
grand wijaya dharmawangsa,jak.31,blok m - andara,-6.254752,106.80034,kali besar barat,13.26
