route_id,route_long_name,route_color,trip_id,service_id,direction_id,stop_sequence,stop_name,stop_lat,stop_lon,location_type,shape_pt_sequence,shape_id
1,blok m - kota,d62126,1-r07,sh,0,0,blok m,-6.243312,106.80175,0,1,usj3
1,blok m - kota,d62126,1-r08,sh,1,0,kali besar barat,-6.135355,106.81143,0,1,mlcx
1,blok m - kota,d62126,1-r07,sh,0,1,asean,-6.239911,106.79897,0,1,usj3
1,blok m - kota,d62126,1-r08,sh,1,1,museum fatahillah,-6.133882,106.81214,0,1,mlcx
1,blok m - kota,d62126,1-r08,sh,1,2,kota,-6.136827,106.814876,0,1,mlcx
1,blok m - kota,d62126,1-r07,sh,0,2,masjid agung,-6.236472,106.798412,0,1,usj3
1,blok m - kota,d62126,1-r07,sh,0,3,bundaran senayan k-l-m,-6.227766,106.800954,0,1,usj3
1,blok m - kota,d62126,1-r08,sh,1,3,glodok,-6.144438,106.815498,0,1,mlcx
1,blok m - kota,d62126,1-r07,sh,0,4,gelora bung karno,-6.224137,106.805837,0,1,usj3
1,blok m - kota,d62126,1-r08,sh,1,4,olimo,-6.149291,106.816732,0,1,mlcx
1,blok m - kota,d62126,1-r08,sh,1,5,mangga besar,-6.153256,106.817543,0,1,mlcx
1,blok m - kota,d62126,1-r07,sh,0,5,polda metro jaya,-6.221044,106.810241,0,1,usj3
1,blok m - kota,d62126,1-r07,sh,0,6,karet sudirman d-e-f,-6.212352,106.819981,0,1,usj3
1,blok m - kota,d62126,1-r08,sh,1,6,sawah besar,-6.157366,106.818702,0,1,mlcx
1,blok m - kota,d62126,1-r08,sh,1,7,harmoni,-6.162764,106.819961,0,1,mlcx
1,blok m - kota,d62126,1-r07,sh,0,7,dukuh atas 1,-6.205621,106.822203,0,1,usj3
1,blok m - kota,d62126,1-r08,sh,1,8,monas,-6.176252,106.822922,0,1,mlcx
1,blok m - kota,d62126,1-r07,sh,0,8,tosari,-6.196742,106.823051,0,1,usj3
1,blok m - kota,d62126,1-r08,sh,1,9,bank indonesia arah selatan,-6.184784,106.82326,0,1,mlcx
1,blok m - kota,d62126,1-r07,sh,0,9,bundaran hi astra,-6.192977,106.822954,0,1,usj3
